dir,protein_1,protein_2,RMSD after refinement,Number of aligned atoms after refinement,Number of refinement cycles,RMSD before refinement,Number of aligned atoms before refinement,Raw alignment score,Number of residues aligned
3FTx,Hh02G004177,Hh03G023188,3.410802603,160,4,3.709806681,167,70.5,28
3FTx,Hh02G004177,Hh03G023189,3.412604809,159,3,3.715119123,166,65.5,28
3FTx,Hh02G004177,Hh03G023190,3.410802603,160,4,3.709806681,167,70.5,28
3FTx,Hh02G004177,HhUnG022166,12.42542267,219,4,15.80163097,243,103,34
3FTx,Hh02G004177,HhUnG023191,3.410802603,160,4,3.709806681,167,70.5,28
3FTx,Hh02G005288,Hh03G023188,3.982264996,138,5,4.869002819,153,55.5,26
3FTx,Hh02G005288,Hh03G023189,4.03714323,138,5,4.857516766,152,50.5,26
3FTx,Hh02G005288,Hh03G023190,3.982264757,138,5,4.869002819,153,55.5,26
3FTx,Hh02G005288,HhUnG022166,9.429597855,116,1,9.429597855,116,22,19
3FTx,Hh02G005288,HhUnG023191,3.982264757,138,5,4.869002819,153,55.5,26
3FTx,Hh03G008612,Hh03G023189,3.371770144,340,5,4.955318451,396,143.5,57
3FTx,Hh03G008612,Hh03G023190,2.749579906,326,5,4.560576916,396,143.5,57
3FTx,Hh03G008612,HhUnG023191,2.749579906,326,5,4.560576916,396,143.5,57
3FTx,Hh03G008631,HhUnG022166,15.50453186,993,5,22.07243156,1152,747.5,147
3FTx,Hh03G008631,HhUnG023191,5.468470573,270,5,13.12505436,343,211,47
3FTx,Hh03G023188,Hh03G023189,0.064010017,428,5,1.159753203,615,450,81
3FTx,Hh03G023188,HhUnG023191,0,616,0,0,616,455,81
3FTx,Hh03G023189,Hh03G023190,0.064009838,428,5,1.159752965,615,450,81
3FTx,Hh03G023189,HhUnG023191,0.06400986,428,5,1.159753203,615,450,81
3FTx,Hh03G023190,HhUnG023191,0,616,0,0,616,455,81
3FTx,HhUnG022166,HhUnG023191,9.315700531,245,4,11.75077248,266,199,34
3FTx,Hh02G004177,Hh03G008631,7.979063988,199,5,13.41247463,243,103,34
3FTx,Hh02G004177,Hh03G023188,3.410802841,160,4,3.709806919,167,70.5,28
3FTx,Hh02G004177,Hh03G023189,3.412605286,159,3,3.7151196,166,65.5,28
3FTx,Hh02G004177,Hh03G023190,3.410802841,160,4,3.709806919,167,70.5,28
3FTx,Hh02G004177,HhUnG022166,12.42542171,219,4,15.80163097,243,103,34
3FTx,Hh02G004177,HhUnG023191,3.410802841,160,4,3.709806681,167,70.5,28
3FTx,Hh02G004177,HhUnG023192,3.412605047,159,3,3.715119362,166,65.5,28
3FTx,Hh02G005288,Hh03G008631,14.82146358,315,5,15.48650455,323,30,56
3FTx,Hh02G005288,Hh03G023189,4.037143707,138,5,4.857516766,152,50.5,26
3FTx,Hh02G005288,HhUnG023191,3.982264996,138,5,4.869002819,153,55.5,26
3FTx,Hh02G005288,HhUnG023192,4.037143707,138,5,4.857516766,152,50.5,26
3FTx,Hh03G008612,HhUnG023191,2.749579668,326,5,4.560576916,396,143.5,57
3FTx,Hh03G008612,HhUnG023192,3.371770382,340,5,4.955318451,396,143.5,57
3FTx,Hh03G008631,HhUnG023192,5.776209354,276,5,13.11622524,343,211,47
3FTx,Hh03G023188,Hh03G023189,0.064010054,428,5,1.159753442,615,450,81
3FTx,Hh03G023188,HhUnG023192,0.064010069,428,5,1.159753203,615,450,81
3FTx,Hh03G023189,Hh03G023190,0.064009801,428,5,1.159753323,615,450,81
3FTx,Hh03G023189,HhUnG023191,0.064009823,428,5,1.159752965,615,450,81
3FTx,Hh03G023189,HhUnG023192,0,617,0,0,617,458,81
3FTx,Hh03G023190,HhUnG023192,0.064009801,428,5,1.159753084,615,450,81
3FTx,HhUnG022166,HhUnG023192,9.3051548,245,4,11.65546131,266,199,34
3FTx,HhUnG023191,HhUnG023192,0.064009845,428,5,1.159752965,615,450,81
3FTx,Hh02G004177,Hh03G008631,7.979063034,199,5,13.41247463,243,103,34
3FTx,Hh02G004177,Hh03G023188,3.41080308,160,4,3.709807158,167,70.5,28
3FTx,Hh02G004177,Hh03G023190,3.41080308,160,4,3.709806919,167,70.5,28
3FTx,Hh02G004177,HhUnG022166,12.42542267,219,4,15.80163193,243,103,34
3FTx,Hh02G004177,HhUnG023191,3.41080308,160,4,3.709807158,167,70.5,28
3FTx,Hh02G004177,HhUnG023192,3.412605286,159,3,3.7151196,166,65.5,28
3FTx,Hh03G008612,HhUnG023192,3.371770144,340,5,4.955318451,396,143.5,57
3FTx,Hh03G008631,HhUnG023191,5.468470573,270,5,13.12505341,343,211,47
3FTx,Hh03G008631,HhUnG023192,5.776208878,276,5,13.11622524,343,211,47
3FTx,Hh03G023188,Hh03G023189,0.064010032,428,5,1.159753323,615,450,81
3FTx,Hh03G023188,HhUnG023192,0.064010091,428,5,1.159753084,615,450,81
3FTx,Hh03G023189,Hh03G023190,0.064009733,428,5,1.159753323,615,450,81
3FTx,Hh03G023189,HhUnG023191,0.064009793,428,5,1.159753323,615,450,81
3FTx,Hh03G023190,HhUnG022166,9.315700531,245,4,11.75077343,266,199,34
3FTx,Hh03G023190,HhUnG023192,0.064009793,428,5,1.159753203,615,450,81
3FTx,HhUnG022166,HhUnG023191,9.315700531,245,4,11.75077343,266,199,34
3FTx,HhUnG023191,HhUnG023192,0.064009823,428,5,1.159753203,615,450,81
3FTx,Hh02G004177,HhUnG022166,12.42542362,219,4,15.80163193,243,103,34
3FTx,Hh02G004177,HhUnG023191,3.41080308,160,4,3.709806919,167,70.5,28
3FTx,Hh02G005288,Hh03G008612,6.788813591,119,3,6.983098984,121,24,20
3FTx,Hh02G005288,Hh03G023188,3.982265234,138,5,4.869002819,153,55.5,26
3FTx,Hh03G008612,Hh03G008631,7.331503391,243,5,12.93878269,288,68.5,43
3FTx,Hh03G008612,Hh03G023188,2.749579668,326,5,4.560576916,396,143.5,57
3FTx,Hh03G008631,Hh03G023188,5.46847105,270,5,13.12505341,343,211,47
3FTx,Hh03G008631,Hh03G023190,5.468470573,270,5,13.12505341,343,211,47
3FTx,Hh03G008631,HhUnG022166,15.50453281,993,5,22.07243156,1152,747.5,147
3FTx,Hh03G008631,HhUnG023191,5.46847105,270,5,13.12505341,343,211,47
3FTx,Hh03G008631,HhUnG023192,5.776208878,276,5,13.11622429,343,211,47
3FTx,Hh03G023188,Hh03G023189,0.064009987,428,5,1.159753323,615,450,81
3FTx,Hh03G023188,HhUnG022166,9.315700531,245,4,11.75077248,266,199,34
3FTx,Hh03G023188,HhUnG023192,0.064010076,428,5,1.159753203,615,450,81
3FTx,Hh03G023189,Hh03G023190,0.064009748,428,5,1.159753323,615,450,81
3FTx,Hh03G023189,HhUnG023191,0.064009696,428,5,1.159753442,615,450,81
3FTx,Hh03G023190,HhUnG023192,0.06400989,428,5,1.159753203,615,450,81
3FTx,HhUnG023191,HhUnG023192,0.064009868,428,5,1.159753442,615,450,81
3FTx,Hh02G004177,Hh02G005288,9.880320549,459,1,9.880320549,459,324,62
3FTx,Hh02G004177,Hh03G008612,6.128623009,112,5,7.049366474,121,23,20
3FTx,Hh02G004177,Hh03G008631,7.979063988,199,5,13.41247559,243,103,34
3FTx,Hh02G004177,Hh03G023188,3.410802841,160,4,3.709807158,167,70.5,28
3FTx,Hh02G004177,Hh03G023190,3.41080308,160,4,3.709807158,167,70.5,28
3FTx,Hh02G004177,HhUnG022166,12.42542458,219,4,15.80163383,243,103,34
3FTx,Hh02G004177,HhUnG023191,3.410803318,160,4,3.709807634,167,70.5,28
3FTx,Hh02G004177,HhUnG023192,3.412605524,159,3,3.715120077,166,65.5,28
3FTx,Hh02G005288,Hh03G008612,6.788813114,119,3,6.983098984,121,24,20
3FTx,Hh02G005288,Hh03G008631,14.82146549,315,5,15.48650646,323,30,56
3FTx,Hh02G005288,Hh03G023190,3.982265234,138,5,4.869003296,153,55.5,26
3FTx,Hh03G008612,Hh03G023188,2.74957943,326,5,4.560576916,396,143.5,57
3FTx,Hh03G008612,HhUnG023191,2.749579668,326,5,4.560576439,396,143.5,57
3FTx,Hh03G008612,HhUnG023192,3.37177062,340,5,4.955318451,396,143.5,57
3FTx,Hh03G008631,Hh03G023188,5.468470573,270,5,13.12505341,343,211,47
3FTx,Hh03G023188,Hh03G023189,0.064010084,428,5,1.159753442,615,450,81
3FTx,Hh03G023188,HhUnG023192,0.064010017,428,5,1.159753561,615,450,81
3FTx,Hh03G023189,Hh03G023190,0.064009815,428,5,1.159753323,615,450,81
3FTx,Hh03G023189,HhUnG023191,0.064009771,428,5,1.159753442,615,450,81
3FTx,Hh03G023190,HhUnG023192,0.064009763,428,5,1.159753442,615,450,81
3FTx,HhUnG023191,HhUnG023192,0.064009733,428,5,1.159753561,615,450,81
CRISP,Hh01G000001,Hh01G002297,0.297888249,887,5,16.65111351,1166,752,150
3FTx,Hh02G004177,Hh03G008612,6.128625393,112,5,7.049368382,121,23,20
3FTx,Hh02G004177,Hh03G008631,7.979064941,199,5,13.41247559,243,103,34
3FTx,Hh02G004177,Hh03G023188,3.410803318,160,4,3.709807396,167,70.5,28
3FTx,Hh02G004177,Hh03G023189,3.412605524,159,3,3.715120077,166,65.5,28
3FTx,Hh02G004177,HhUnG022166,12.42542553,219,4,15.80163383,243,103,34
3FTx,Hh02G004177,HhUnG023192,3.412605762,159,3,3.715120316,166,65.5,28
3FTx,Hh02G005288,HhUnG022166,9.429599762,116,1,9.429599762,116,22,19
3FTx,Hh02G005288,HhUnG023191,3.982264519,138,5,4.869002819,153,55.5,26
3FTx,Hh02G005288,HhUnG023192,4.03714323,138,5,4.857516766,152,50.5,26
3FTx,Hh03G008612,Hh03G023188,2.749579191,326,5,4.560576916,396,143.5,57
3FTx,Hh03G008612,Hh03G023190,2.749579906,326,5,4.560576439,396,143.5,57
3FTx,Hh03G008612,HhUnG023192,3.371771097,340,5,4.955318928,396,143.5,57
3FTx,Hh03G008631,Hh03G023189,5.776208401,276,5,13.1162262,343,211,47
3FTx,Hh03G008631,Hh03G023190,5.46846962,270,5,13.12505436,343,211,47
3FTx,Hh03G023188,Hh03G023189,0.064010061,428,5,1.15975368,615,450,81
3FTx,Hh03G023188,HhUnG023192,0.064010106,428,5,1.159753561,615,450,81
3FTx,Hh03G023189,Hh03G023190,0.064009838,428,5,1.159753442,615,450,81
3FTx,Hh03G023189,HhUnG023191,0.064009994,428,5,1.159753561,615,450,81
3FTx,Hh03G023190,HhUnG022166,9.315701485,245,4,11.75077343,266,199,34
3FTx,Hh03G023190,HhUnG023192,0.06400983,428,5,1.159753561,615,450,81
3FTx,HhUnG022166,HhUnG023191,9.315701485,245,4,11.75077343,266,199,34
3FTx,HhUnG022166,HhUnG023192,9.305155754,245,4,11.65546227,266,199,34
3FTx,HhUnG023191,HhUnG023192,0.064010002,428,5,1.15975368,615,450,81
CRISP,Hh01G000001,Hh01G002297,0.297888309,887,5,16.65111351,1166,752,150
CRISP,Hh01G000001,Hh02G004717,0.66612494,48,5,2.098570347,68,28,11
CRISP,Hh01G002297,Hh02G004717,14.23645592,407,5,16.98228836,440,32,68
3FTx,Hh02G004177,Hh03G008612,6.128626823,112,5,7.049370289,121,23,20
3FTx,Hh02G004177,Hh03G008631,7.979066372,199,5,13.41247654,243,103,34
3FTx,Hh02G004177,Hh03G023188,3.410803556,160,4,3.709807634,167,70.5,28
3FTx,Hh02G004177,HhUnG022166,12.42542553,219,4,15.80163479,243,103,34
3FTx,Hh02G004177,HhUnG023191,3.410803318,160,4,3.709807396,167,70.5,28
3FTx,Hh02G004177,HhUnG023192,3.412605524,159,3,3.715119839,166,65.5,28
3FTx,Hh02G005288,Hh03G023188,3.982265472,138,5,4.869003773,153,55.5,26
3FTx,Hh02G005288,Hh03G023189,4.037142754,138,5,4.857516289,152,50.5,26
3FTx,Hh02G005288,HhUnG022166,9.429600716,116,1,9.429600716,116,22,19
3FTx,Hh03G008612,Hh03G023188,2.749580145,326,5,4.560577869,396,143.5,57
3FTx,Hh03G008612,HhUnG023192,3.371770859,340,5,4.955318928,396,143.5,57
3FTx,Hh03G008631,HhUnG022166,15.50453377,993,5,22.07243156,1152,747.5,147
3FTx,Hh03G008631,HhUnG023191,5.468470097,270,5,13.12505436,343,211,47
3FTx,Hh03G008631,HhUnG023192,5.776208401,276,5,13.11622524,343,211,47
3FTx,Hh03G023188,Hh03G023189,0.064010277,428,5,1.159752846,615,450,81
3FTx,Hh03G023188,HhUnG022166,9.315701485,245,4,11.75077438,266,199,34
3FTx,Hh03G023188,HhUnG023192,0.064010195,428,5,1.159752727,615,450,81
3FTx,Hh03G023189,Hh03G023190,0.064010002,428,5,1.159753323,615,450,81
3FTx,Hh03G023189,HhUnG023191,0.064010113,428,5,1.159753442,615,450,81
3FTx,Hh03G023190,HhUnG023192,0.064010032,428,5,1.159753323,615,450,81
3FTx,HhUnG023191,HhUnG023192,0.064010046,428,5,1.159753561,615,450,81
CRISP,Hh01G000001,Hh01G002297,0.297888368,887,5,16.65111351,1166,752,150
CRISP,Hh01G000001,Hh02G004717,0.666125059,48,5,2.098570108,68,28,11
CRISP,Hh01G000001,Hh03G008934,0.604700804,489,5,3.509507656,662,144.5,100
CRISP,Hh01G002297,Hh03G008934,0.647872925,459,5,3.520566702,623,131,94
CRISP,Hh02G004717,Hh03G008934,6.325482368,215,5,7.448645115,229,73.5,38
3FTx,Hh02G004177,Hh03G008631,7.979067326,199,5,13.41247749,243,103,34
3FTx,Hh02G004177,Hh03G023188,3.410803556,160,4,3.709807873,167,70.5,28
3FTx,Hh02G004177,Hh03G023189,3.412605286,159,3,3.715119839,166,65.5,28
3FTx,Hh02G004177,Hh03G023190,3.410803318,160,4,3.709807396,167,70.5,28
3FTx,Hh02G005288,Hh03G008612,6.788814068,119,3,6.983099461,121,24,20
3FTx,Hh02G005288,HhUnG022166,9.429601669,116,1,9.429601669,116,22,19
3FTx,Hh03G008612,Hh03G023188,2.749579906,326,5,4.560577393,396,143.5,57
3FTx,Hh03G008612,Hh03G023190,2.749579668,326,5,4.560575962,396,143.5,57
3FTx,Hh03G008612,HhUnG023191,2.749578953,326,5,4.560575962,396,143.5,57
3FTx,Hh03G008612,HhUnG023192,3.371770382,340,5,4.955318928,396,143.5,57
3FTx,Hh03G008631,Hh03G023188,5.468470573,270,5,13.12505531,343,211,47
3FTx,Hh03G008631,Hh03G023189,5.776207924,276,5,13.1162262,343,211,47
3FTx,Hh03G023188,Hh03G023189,0.064010434,428,5,1.159752607,615,450,81
3FTx,Hh03G023188,HhUnG023192,0.064010307,428,5,1.159752727,615,450,81
3FTx,Hh03G023189,Hh03G023190,0.064010136,428,5,1.159753084,615,450,81
3FTx,Hh03G023189,HhUnG023191,0.064010136,428,5,1.15975368,615,450,81
3FTx,Hh03G023190,HhUnG023192,0.064010032,428,5,1.159752965,615,450,81
3FTx,HhUnG022166,HhUnG023192,9.305155754,245,4,11.65546131,266,199,34
3FTx,HhUnG023191,HhUnG023192,0.06400989,428,5,1.159753561,615,450,81
CRISP,Hh01G000001,Hh02G004717,0.66612488,48,5,2.098570108,68,28,11
CRISP,Hh01G000001,Hh03G008934,0.604700685,489,5,3.509507656,662,144.5,100
CRISP,Hh01G000001,Hh03G008935,0.833743334,431,5,10.22125244,677,139.5,98
CRISP,Hh01G002297,Hh03G008935,0.912995636,441,5,10.09485722,666,130.5,98
CRISP,Hh02G004717,Hh03G008935,17.30879974,622,2,17.35162354,623,92,102
CRISP,Hh03G008934,Hh03G008935,0.625954032,1227,5,12.81553078,1652,804.5,233
3FTx,Hh02G004177,Hh03G008612,6.128628254,112,5,7.049371719,121,23,20
3FTx,Hh02G004177,Hh03G008631,7.979066372,199,5,13.41247559,243,103,34
3FTx,Hh02G004177,Hh03G023188,3.410804272,160,4,3.70980835,167,70.5,28
3FTx,Hh02G004177,Hh03G023189,3.412606001,159,3,3.715120316,166,65.5,28
3FTx,Hh02G004177,Hh03G023190,3.410803795,160,4,3.709807873,167,70.5,28
3FTx,Hh02G004177,HhUnG023191,3.410803556,160,4,3.709807634,167,70.5,28
3FTx,Hh02G004177,HhUnG023192,3.412606001,159,3,3.715120316,166,65.5,28
3FTx,Hh02G005288,Hh03G008631,14.82146454,315,5,15.48650551,323,30,56
3FTx,Hh02G005288,Hh03G023190,3.982264757,138,5,4.869002342,153,55.5,26
3FTx,Hh02G005288,HhUnG023191,3.982264519,138,5,4.869002342,153,55.5,26
3FTx,Hh03G008612,Hh03G008631,7.331504345,243,5,12.93878365,288,68.5,43
3FTx,Hh03G008612,Hh03G023188,2.74957943,326,5,4.560577869,396,143.5,57
3FTx,Hh03G008612,Hh03G023189,3.371769428,340,5,4.955317974,396,143.5,57
3FTx,Hh03G008612,HhUnG023191,2.749578953,326,5,4.560576916,396,143.5,57
3FTx,Hh03G008612,HhUnG023192,3.37177062,340,5,4.955319405,396,143.5,57
3FTx,Hh03G008631,HhUnG023192,5.776208401,276,5,13.1162262,343,211,47
3FTx,Hh03G023188,Hh03G023189,0.064010426,428,5,1.159752131,615,450,81
3FTx,Hh03G023188,HhUnG023192,0.064010233,428,5,1.159752488,615,450,81
3FTx,Hh03G023189,Hh03G023190,0.064010106,428,5,1.159752607,615,450,81
3FTx,Hh03G023189,HhUnG023191,0.064010166,428,5,1.159753084,615,450,81
3FTx,Hh03G023190,HhUnG023192,0.064009957,428,5,1.159752965,615,450,81
3FTx,HhUnG023191,HhUnG023192,0.064009897,428,5,1.159753561,615,450,81
CRISP,Hh01G000001,Hh01G002297,0.297888517,887,5,16.65111351,1166,752,150
CRISP,Hh01G000001,Hh02G004717,0.666124642,48,5,2.098570108,68,28,11
CRISP,Hh01G000001,Hh03G008935,0.833743215,431,5,10.2212534,677,139.5,98
CRISP,Hh01G000001,Hh03G010271,0.868749797,551,5,12.53363705,835,167,126
CRISP,Hh01G002297,Hh03G010271,1.395187736,606,5,11.65839767,821,153.5,124
CRISP,Hh02G004717,Hh03G010271,5.584495068,263,5,8.299114227,314,75.5,51
CRISP,Hh03G008934,Hh03G008935,0.625953972,1227,5,12.81552982,1652,804.5,233
CRISP,Hh03G008934,Hh03G010271,0.692902088,866,5,9.854929924,1320,329,201
CRISP,Hh03G008935,Hh03G010271,0.691668868,868,5,16.44902611,1254,285.5,189
3FTx,Hh02G004177,Hh03G008612,6.1286273,112,5,7.049370766,121,23,20
3FTx,Hh02G004177,Hh03G008631,7.979066372,199,5,13.41247463,243,103,34
3FTx,Hh02G004177,Hh03G023188,3.410804033,160,4,3.70980835,167,70.5,28
3FTx,Hh02G004177,Hh03G023189,3.412606001,159,3,3.715120554,166,65.5,28
3FTx,Hh02G004177,Hh03G023190,3.410804033,160,4,3.709808111,167,70.5,28
3FTx,Hh02G004177,HhUnG023191,3.410803795,160,4,3.709807873,167,70.5,28
3FTx,Hh02G004177,HhUnG023192,3.412606239,159,3,3.715120554,166,65.5,28
3FTx,Hh02G005288,Hh03G008631,14.82146645,315,5,15.48650742,323,30,56
3FTx,Hh02G005288,HhUnG023191,3.982264042,138,5,4.869002342,153,55.5,26
3FTx,Hh02G005288,HhUnG023192,4.03714323,138,5,4.857516289,152,50.5,26
3FTx,Hh03G008612,Hh03G008631,7.331505299,243,5,12.9387846,288,68.5,43
3FTx,Hh03G008612,Hh03G023188,2.749578953,326,5,4.560577393,396,143.5,57
3FTx,Hh03G008612,Hh03G023189,3.371769667,340,5,4.955318451,396,143.5,57
3FTx,Hh03G008612,Hh03G023190,2.749579906,326,5,4.560577393,396,143.5,57
3FTx,Hh03G008612,HhUnG022166,9.114023209,190,5,11.80782032,211,62.5,30
3FTx,Hh03G008612,HhUnG023191,2.749579191,326,5,4.560576916,396,143.5,57
3FTx,Hh03G008612,HhUnG023192,3.371770859,340,5,4.955319881,396,143.5,57
3FTx,Hh03G008631,Hh03G023188,5.468471527,270,5,13.12505531,343,211,47
3FTx,Hh03G008631,Hh03G023189,5.776208401,276,5,13.11622715,343,211,47
3FTx,Hh03G008631,Hh03G023190,5.468470097,270,5,13.12505531,343,211,47
3FTx,Hh03G008631,HhUnG022166,15.50453472,993,5,22.07243347,1152,747.5,147
3FTx,Hh03G008631,HhUnG023191,5.468470097,270,5,13.12505531,343,211,47
3FTx,Hh03G008631,HhUnG023192,5.776208878,276,5,13.1162262,343,211,47
3FTx,Hh03G023188,Hh03G023189,0.064010382,428,5,1.159752131,615,450,81
3FTx,Hh03G023188,HhUnG022166,9.315700531,245,4,11.75077438,266,199,34
3FTx,Hh03G023188,HhUnG023192,0.064010173,428,5,1.159752846,615,450,81
3FTx,Hh03G023189,Hh03G023190,0.064010173,428,5,1.159752369,615,450,81
3FTx,Hh03G023189,HhUnG023191,0.06400989,428,5,1.159752607,615,450,81
3FTx,Hh03G023190,HhUnG023192,0.06400995,428,5,1.159753203,615,450,81
3FTx,HhUnG023191,HhUnG023192,0.064009704,428,5,1.159753561,615,450,81
CRISP,Hh01G000001,Hh01G002297,0.297888368,887,5,16.6511116,1166,752,150
CRISP,Hh01G000001,Hh02G004717,0.666124403,48,5,2.098570108,68,28,11
CRISP,Hh01G000001,Hh03G008934,0.604700744,489,5,3.509507895,662,144.5,100
CRISP,Hh01G000001,Hh03G008935,0.833743334,431,5,10.2212534,677,139.5,98
CRISP,Hh01G000001,Hh03G010271,0.868749857,551,5,12.53363705,835,167,126
CRISP,Hh01G000001,Hh03G010642,1.308936119,535,5,16.89272118,809,147,123
CRISP,Hh01G002297,Hh02G004717,14.23645496,407,5,16.98228645,440,32,68
CRISP,Hh01G002297,Hh03G008934,0.647872984,459,5,3.520566702,623,131,94
CRISP,Hh01G002297,Hh03G008935,0.912995696,441,5,10.09485817,666,130.5,98
CRISP,Hh01G002297,Hh03G010642,1.25590241,543,5,18.01566505,802,140.5,123
CRISP,Hh02G004717,Hh03G010642,9.889587402,213,1,9.889587402,213,50,35
CRISP,Hh03G008934,Hh03G008935,0.625953972,1227,5,12.81553078,1652,804.5,233
CRISP,Hh03G008934,Hh03G010271,0.692902207,866,5,9.854929924,1320,329,201
CRISP,Hh03G008934,Hh03G010642,0.698768437,1005,5,10.66946983,1321,554,187
CRISP,Hh03G008935,Hh03G010271,0.691668987,868,5,16.44902611,1254,285.5,189
CRISP,Hh03G008935,Hh03G010642,0.525703847,981,5,7.437533379,1427,644,201
