molecule	gene	start	end	strand	orientation	abbr
Chr4	Hh04G011825	88657231	88722421	reverse	0	LIP
Chr4	Hh04G011826	88748411	88777739	forward	1	LIP
Chr4	Hh04G011827	88794656	88823204	forward	1	LIP
Chr4	Hh04G011828	88852867	88906171	reverse	0	LIP
Chr4	Hh04G011863	94207560	94229678	forward	1	PLA2
Chr4	Hh04G011985	106767622	106775786	reverse	0	PLI
Chr4	Hh04G011988	106889864	106894642	reverse	0	PLI
Chr4	Hh04G012224	132719947	132730988	forward	1	GH56
Chr4	Hh04G012225	132768202	132773245	forward	1	GH56
Chr4	Hh04G012236	135987921	135995748	forward	1	PLI
Chr4	Hh04G012345	149628313	149629074	reverse	0	NGF
Chr4	Hh04G012535	165470062	165492957	forward	1	CRISP
Chr4	Hh04G012675	179182995	179221056	reverse	0	PLB
Chr4	Hh04G012738	182454680	182473923	forward	1	PDGF
Chr4	Hh04G013138	217162738	217171397	forward	1	vLEC
Chr4	Hh04G013142	217448331	217457542	reverse	0	vLEC
Chr4	Hh04G013143	217487014	217498860	reverse	0	vLEC
Chr4	Hh04G013144	217504058	217509527	reverse	0	vLEC
Chr4	Hh04G013146	217530949	217532627	reverse	0	vLEC
Chr4	Hh04G013157	217733709	217741046	reverse	0	vLEC
Chr4	Hh04G013159	217816493	217821645	forward	1	vLEC
Chr4	Hh04G013160	217864582	217917512	forward	1	vLEC
Chr4	Hh04G013161	217920542	217922471	reverse	0	vLEC
Chr4	Hh04G013162	217942684	217948594	reverse	0	vLEC
Chr4	Hh04G013164	217962580	217994548	forward	1	vLEC
Chr5	Hh05G013235	5178	5564	reverse	0	AChE/CES
Chr5	Hh05G013236	31757	33004	reverse	0	AChE/CES
Chr5	Hh05G013689	19004929	19037500	forward	1	vLEC
Chr5	Hh05G013690	19078914	19086120	forward	1	vLEC
Chr5	Hh05G014130	37070979	37084132	forward	1	NGF
Chr5	Hh05G014174	39008400	39012378	forward	1	NPY
Chr5	Hh05G014808	97562640	97573638	reverse	0	NPY
Chr5	Hh05G015075	127437912	127458470	forward	1	CRISP
Chr5	Hh05G015393	167291795	167294791	reverse	0	CATH
Chr5	Hh05G015394	167309111	167312094	forward	1	CATH
Chr5	Hh05G015395	167314691	167379528	forward	1	CATH
Chr5	Hh05G015396	167380405	167386816	reverse	0	CATH
Chr6	Hh06G015765	14666241	14740208	forward	1	MCO
Chr6	Hh06G015811	19683424	19687533	reverse	0	PDGF
Chr6	Hh06G015812	19727302	19729855	reverse	0	PDGF
Chr6	Hh06G015957	36060535	36070440	reverse	0	PLA2
Chr6	Hh06G015973	36636764	36717593	forward	1	MCO
Chr6	Hh06G016116	57120257	57148274	reverse	0	LIP
Chr6	Hh06G016441	95292695	95300410	forward	1	AChE/CES
Chr6	Hh06G016442	95486425	95495523	forward	1	AChE/CES
Chr6	Hh06G016581	109122977	109161243	reverse	0	SVSP
Chr6	Hh06G016748	143744166	143754745	reverse	0	TCTP
Chr7	Hh07G017101	30615083	30623996	reverse	0	PLA2
Chr7	Hh07G017301	55062758	55095478	forward	1	PDE
Chr7	Hh07G017326	59459570	59478904	forward	1	PDGF
Chr7	Hh07G017565	88697007	88713768	forward	1	PDGF
Chr7	Hh07G017566	88741968	88749980	forward	1	PDGF
Chr7	Hh07G017728	96048306	96048542	forward	1	CST
Chr7	Hh07G017729	96058177	96067054	forward	1	CST
Chr7	Hh07G017748	96442838	96444427	forward	1	CST
Chr7	Hh07G017756	96537317	96538856	forward	1	CST
Chr7	Hh07G017852	99701460	99704811	forward	1	PDGF
Chr8	Hh08G018157	7958257	8037962	reverse	0	SVMP
Chr8	Hh08G018158	8050055	8128803	forward	1	SVMP
Chr8	Hh08G018160	8178399	8204246	reverse	0	SVMP
Chr8	Hh08G018161	8225470	8284011	reverse	0	SVMP
Chr9	Hh09G018735	11234720	11259433	reverse	0	PLI
Chr9	Hh09G018736	11269001	11281428	reverse	0	PLI
Chr9	Hh09G018747	11567730	11572770	forward	1	PLI
Chr9	Hh09G018748	11577316	11592068	forward	1	PLI
Chr9	Hh09G018751	11638430	11647348	forward	1	PLI
Chr9	Hh09G018752	11657878	11674311	forward	1	PLI
Chr9	Hh09G018753	11685053	11700167	forward	1	PLI
Chr9	Hh09G018755	11739364	11748822	forward	1	PLI
Chr9	Hh09G018756	11760687	11776425	reverse	0	PLI
Chr9	Hh09G018757	11790026	11792706	reverse	0	PLI
Chr9	Hh09G018758	11799434	11805182	reverse	0	PLI
Chr9	Hh09G018759	11831176	11838998	reverse	0	PLI
Chr9	Hh09G018825	13957115	13960156	forward	1	SVSP
Chr10	Hh10G019063	1117905	1129967	forward	1	LIP
Chr10	Hh10G019067	1167403	1201159	forward	1	AChE/CES
Chr10	Hh10G019071	1316614	1375330	forward	1	AChE/CES
Chr10	Hh10G019167	7469696	7491726	reverse	0	LIP
Chr10	Hh10G019333	22417653	22448915	forward	1	CRISP
Chr11	Hh11G019715	14392065	14395706	forward	1	PLA2
Chr11	Hh11G019716	14399054	14409108	reverse	0	PLA2
Chr11	Hh11G019743	15002247	15012761	reverse	0	PLA2
Chr11	Hh11G019942	19127297	19149359	forward	1	AChE/CES
Chr11	Hh11G019987	19819976	19836632	forward	1	vKUN
Chr11	Hh11G020022	20243299	20244563	reverse	0	svVEGF
Chr11	Hh11G020101	21791612	21803919	reverse	0	QPCT
Chr12	Hh12G020327	11356801	11392257	reverse	0	DPP
Chr12	Hh12G020432	15693661	15712055	forward	1	LIP
Chr12	Hh12G020503	18230143	18235316	reverse	0	CREC
Chr13	Hh13G020698	7050829	7097259	forward	1	MCO
Chr13	Hh13G020772	12974825	13029446	reverse	0	MCO
Chr14	Hh14G020926	393504	395168	reverse	0	PLA2
Chr14	Hh14G021054	4657165	4675779	forward	1	PDGF
Chr14	Hh14G021077	5726328	5747103	reverse	0	LIP
Chr14	Hh14G021328	19649622	19670783	forward	1	PDE
Chr15	Hh15G021361	2231684	2236947	reverse	0	Ficolin
Chr15	Hh15G021629	10602022	10609632	reverse	0	AChE/CES
Chr16	Hh16G021833	5198954	5206998	forward	1	CAL
Chr16	Hh16G021921	7501652	7508179	forward	1	PLA2
Scaffold20	HhUnG022079	1103209	1138290	reverse	0	Veficolin
Scaffold24	HhUnG022162	776466	807162	reverse	0	PLB
Scaffold24	HhUnG022163	806975	837720	forward	1	PLB
Scaffold25	HhUnG022166	474531	481700	forward	1	3FTx
Scaffold26	HhUnG022176	114886	115551	forward	1	NP
Scaffold26	HhUnG022177	118465	120751	forward	1	NP
Scaffold26	HhUnG022178	128573	139356	forward	1	NP
Scaffold35	HhUnG022311	124889	128991	reverse	0	Veficolin
Scaffold35	HhUnG022314	155719	162777	forward	1	Veficolin
Scaffold35	HhUnG022315	170016	246595	forward	1	Veficolin
Scaffold49	HhUnG022429	261304	272682	forward	1	CRISP
Scaffold52	HhUnG022443	75212	155477	reverse	0	VF
Scaffold52	HhUnG022444	170925	270564	reverse	0	VF
Scaffold52	HhUnG022445	289384	322843	reverse	0	VF
Scaffold63	HhUnG022502	26645	78255	reverse	0	CRISP
Scaffold63	HhUnG022504	149383	167403	forward	1	CRISP
Scaffold63	HhUnG022505	280200	313746	forward	1	CRISP
Chr3	Hh03G023188	6113210	6117957	forward	1	3FTx
Chr3	Hh03G023189	6142065	6146806	forward	1	3FTx
Chr3	Hh03G023190	6170823	6182186	forward	1	3FTx
Scaffold25	HhUnG023191	308046	319416	reverse	0	3FTx
Scaffold25	HhUnG023192	343430	348226	reverse	0	3FTx
